id_luta;sequencia;momento;id_quem_faz;id_quem_recebe;id_acao;id_tecnica;id_direcao;id_pontuacao;id_motivo_penalizacao
6;37;0001-01-01 00:06:51.111-03:12:48 BC;2;41;2;;;;
6;38;0001-01-01 00:06:53.804-03:12:48 BC;2;41;4;;;;
6;39;0001-01-01 00:06:56.746-03:12:48 BC;2;41;12;;;;
6;40;0001-01-01 00:07:15.333-03:12:48 BC;1;;24;;;;
6;41;0001-01-01 00:07:21.882-03:12:48 BC;2;41;2;;;;
6;42;0001-01-01 00:07:23.881-03:12:48 BC;2;41;56;;;;
6;43;0001-01-01 00:07:32.544-03:12:48 BC;2;41;17;40;2;;
6;44;0001-01-01 00:07:32.544-03:12:48 BC;2;41;56;;;;
6;45;0001-01-01 00:07:34.1-03:12:48 BC;2;41;17;134;4;1;
6;46;0001-01-01 00:07:34.769-03:12:48 BC;2;41;27;;;;
7;1;0001-01-01 00:00:21.614-03:12:48 BC;2;54;2;;;;
7;2;0001-01-01 00:00:26.949-03:12:48 BC;2;54;4;;;;
7;3;0001-01-01 00:00:32.142-03:12:48 BC;2;54;9;;;;
7;4;0001-01-01 00:00:48.375-03:12:48 BC;1;;24;;;;
7;5;0001-01-01 00:00:54.512-03:12:48 BC;2;54;2;;;;
7;6;0001-01-01 00:00:56.636-03:12:48 BC;2;54;4;;;;
7;7;0001-01-01 00:01:45.385-03:12:48 BC;2;54;4;;;;
7;8;0001-01-01 00:01:48.213-03:12:48 BC;2;54;9;;;;
7;9;0001-01-01 00:01:49.92-03:12:48 BC;2;54;51;;;;
7;10;0001-01-01 00:01:53.104-03:12:48 BC;2;54;2;;;;
7;11;0001-01-01 00:01:56.724-03:12:48 BC;2;54;4;;;;
7;12;0001-01-01 00:01:58.446-03:12:48 BC;2;54;15;;;;
7;13;0001-01-01 00:01:58.446-03:12:48 BC;2;54;17;79;6;;
7;14;0001-01-01 00:02:00.175-03:12:48 BC;2;54;45;;;;
7;15;0001-01-01 00:02:02.813-03:12:48 BC;1;;24;;;;
7;16;0001-01-01 00:02:06.072-03:12:48 BC;2;54;2;;;;
7;17;0001-01-01 00:02:09.175-03:12:48 BC;1;;24;;;;
7;18;0001-01-01 00:02:18.508-03:12:48 BC;2;54;2;;;;
7;19;0001-01-01 00:02:22.218-03:12:48 BC;2;54;15;;;;
7;20;0001-01-01 00:02:25.177-03:12:48 BC;2;54;4;;;;
7;21;0001-01-01 00:02:29.725-03:12:48 BC;2;54;55;;;;
7;22;0001-01-01 00:03:25.846-03:12:48 BC;1;;24;;;;
7;23;0001-01-01 00:03:32.628-03:12:48 BC;2;54;2;;;;
7;24;0001-01-01 00:03:38.275-03:12:48 BC;2;54;4;;;;
7;25;0001-01-01 00:03:41.193-03:12:48 BC;2;54;9;;;;
7;26;0001-01-01 00:03:46.906-03:12:48 BC;2;54;17;63;2;;
7;27;0001-01-01 00:03:47.93-03:12:48 BC;2;54;55;;;;
7;28;0001-01-01 00:03:55.906-03:12:48 BC;2;54;18;;;;
7;29;0001-01-01 00:03:58.787-03:12:48 BC;1;;24;;;;
7;30;0001-01-01 00:04:06.805-03:12:48 BC;2;54;2;;;;
7;31;0001-01-01 00:04:09.771-03:12:48 BC;2;54;55;;;;
7;32;0001-01-01 00:04:18.471-03:12:48 BC;2;54;17;77;6;;
7;33;0001-01-01 00:05:00.258-03:12:48 BC;1;;24;;;;
7;34;0001-01-01 00:05:06.557-03:12:48 BC;2;54;2;;;;
7;35;0001-01-01 00:05:12.284-03:12:48 BC;2;54;9;;;;
7;36;0001-01-01 00:05:16.478-03:12:48 BC;2;54;55;;;;
7;37;0001-01-01 00:05:21.224-03:12:48 BC;1;;24;;;;
7;38;0001-01-01 00:05:35.676-03:12:48 BC;2;54;2;;;;
7;39;0001-01-01 00:05:47.661-03:12:48 BC;2;54;9;;;;
7;40;0001-01-01 00:05:56.587-03:12:48 BC;2;54;17;70;6;;
7;41;0001-01-01 00:05:57.638-03:12:48 BC;2;54;9;;;;
7;42;0001-01-01 00:06:40.022-03:12:48 BC;2;54;51;;;;
7;43;0001-01-01 00:06:45.299-03:12:48 BC;2;54;15;;;;
7;44;0001-01-01 00:06:49.333-03:12:48 BC;2;54;4;;;;
7;45;0001-01-01 00:06:52.515-03:12:48 BC;2;54;9;;;;
7;46;0001-01-01 00:06:59.773-03:12:48 BC;2;54;55;;;;
7;47;0001-01-01 00:07:03.479-03:12:48 BC;2;54;2;;;;
7;48;0001-01-01 00:07:06.054-03:12:48 BC;2;54;4;;;;
7;49;0001-01-01 00:07:11.903-03:12:48 BC;1;;24;;;;
7;50;0001-01-01 00:07:27.708-03:12:48 BC;2;54;2;;;;
7;51;0001-01-01 00:07:32.496-03:12:48 BC;2;54;9;;;;
7;52;0001-01-01 00:08:25.933-03:12:48 BC;2;54;18;;;;
